"Home Team","Away Team","Match Date","Home Goals","Away Goals","H Shots","H Shots - Target","A Shots","A Shots - Target","Division","Season"
"Swansea","Norwich","08-DEC-12","3","4","21","10","10","8","1","2012"
"Southampton","Reading","08-DEC-12","1","0","18","9","6","2","1","2012"
"Arsenal","West Brom","08-DEC-12","2","0","16","7","7","2","1","2012"
"Newcastle","Wigan","03-DEC-12","3","0","16","8","9","4","1","2012"
"Norwich","Sunderland","02-DEC-12","2","1","7","5","16","6","1","2012"
"Man City","Everton","01-DEC-12","1","1","9","6","8","5","1","2012"
"Liverpool","Southampton","01-DEC-12","1","0","24","11","8","4","1","2012"
"Fulham","Tottenham","01-DEC-12","0","3","8","2","10","6","1","2012"
"Arsenal","Swansea","01-DEC-12","0","2","10","8","12","10","1","2012"
"West Ham","Chelsea","01-DEC-12","3","1","16","13","16","9","1","2012"
"West Brom","Stoke","01-DEC-12","0","1","14","11","6","4","1","2012"
"Reading","Man United","01-DEC-12","3","4","10","7","10","5","1","2012"
"QPR","Aston Villa","01-DEC-12","1","1","17","12","7","3","1","2012"
"Man United","West Ham","28-NOV-12","1","0","23","13","9","3","1","2012"
"Wigan","Man City","28-NOV-12","0","2","9","4","15","6","1","2012"
"Everton","Arsenal","28-NOV-12","1","1","14","10","12","9","1","2012"
"Stoke","Newcastle","28-NOV-12","2","1","11","5","7","6","1","2012"
"Tottenham","Liverpool","28-NOV-12","2","1","14","7","14","9","1","2012"
"Chelsea","Fulham","28-NOV-12","0","0","17","13","8","7","1","2012"
"Southampton","Norwich","28-NOV-12","1","1","8","2","9","5","1","2012"
"Swansea","West Brom","28-NOV-12","3","1","13","8","6","2","1","2012"
"Aston Villa","Reading","27-NOV-12","1","0","15","7","11","6","1","2012"
"Sunderland","QPR","27-NOV-12","0","0","13","8","13","9","1","2012"
"Southampton","Newcastle","25-NOV-12","2","0","17","10","8","3","1","2012"
"Swansea","Liverpool","25-NOV-12","0","0","17","8","21","14","1","2012"
"Tottenham","West Ham","25-NOV-12","3","1","25","13","10","6","1","2012"
"Chelsea","Man City","25-NOV-12","0","0","5","1","11","7","1","2012"
"Aston Villa","Arsenal","24-NOV-12","0","0","10","8","13","6","1","2012"
"Man United","QPR","24-NOV-12","3","1","15","10","10","6","1","2012"
"Everton","Norwich","24-NOV-12","1","1","14","9","8","4","1","2012"
"Wigan","Reading","24-NOV-12","3","2","19","11","16","10","1","2012"
"Sunderland","West Brom","24-NOV-12","2","4","19","12","11","6","1","2012"
"Stoke","Fulham","24-NOV-12","1","0","12","3","8","5","1","2012"
"West Ham","Stoke","19-NOV-12","1","1","16","11","12","6","1","2012"
"Fulham","Sunderland","18-NOV-12","1","3","18","13","12","9","1","2012"
